finish,start,car_number,driver,car_name/entrant,make_model,status,laps,LED,winnings,year
1,28,32,Ray Harroun,"Marmon ""Wasp""",Marmon/Marmon,74.602,200,88,"$14,250",1911
2,29,33,Ralph Mulford,Lozier,Lozier/Lozier,74.285,200,10,"$5,200",1911
3,25,28,David Bruce-Brown,Fiat,Fiat/Fiat,72.73,200,81,"$3,250",1911
4,11,11,Spencer Wishart,Mercedes,Mercedes/Mercedes,72.648,200,5,"$2,350",1911
5,27,31,Joe Dawson,Marmon,Marmon/Marmon,72.365,200,0,"$1,500",1911
6,2,2,Ralph DePalma,Simplex,Simplex/Simplex,71.084,200,4,"$1,000",1911
7,18,20,Charlie Merz,National,National/National,70.367,200,0,$800,1911
8,12,12,W.H. Turner,Amplex,Amplex/Amplex,68.818,200,0,$700,1911
9,13,15,Fred Belcher,Knox,Knox/Knox,68.626,200,4,$600,1911
10,22,25,Harry Cobe,Jackson,Jackson/Jackson,67.899,200,0,$500,1911
11,10,10,Gil Anderson,Stutz,Stutz/Wisconsin,67.73,200,0,$0,1911
12,32,36,Hughie Hughes,Mercer,Mercer/Mercer,67.63,200,0,$0,1911
13,26,30,Lee Frayer,Firestone-Columbus,Firestone Col./Firestone Col.,Running,0,0,$0,1911
14,19,21,Howdy Wilcox,National,National/National,Running,0,0,$0,1911
15,33,37,Charlie Bigelow,Mercer,Mercer/Mercer,Running,0,0,$0,1911
16,3,3,Harry Endicott,Inter-State,Inter-State/Inter-State,Running,0,0,$0,1911
17,36,41,Howard Hall,Velie,Velie/Velie,Running,0,0,$0,1911
18,40,46,Billy Knipper,Benz,Benz/Benz,Running,0,0,$0,1911
19,39,45,Bob Burman,Benz,Benz/Benz,Running,0,0,$0,1911
20,34,38,Ralph Beardsley,Simplex,Simplex/Simplex,Running,0,0,$0,1911
21,16,18,Eddie Hearne,Fiat,Fiat/Fiat,Running,0,0,$0,1911
22,6,6,Frank Fox,Pope-Hartford,Pope-Hartford/Pope-Hartford,Running,0,0,$0,1911
23,24,27,Ernest Delaney,Cutting,Cutting/Cutting,Running,0,0,$0,1911
24,23,26,Jack Tower,Jackson,Jackson/Jackson,Running,0,0,$0,1911
25,20,23,Mel Marquette,McFarlan,McFarlan/McFarlan,Running,0,0,$0,1911
26,37,42,Bill Endicott,Cole,Cole/Cole,Running,0,0,$0,1911
