X,Y,,
35,51,J,
35,50,,
35,49,,
35,48,,
35,47,,
35,46,,
35,45,,
35,44,,
35,43,,
35,42,,
35,41,,
35,40,,
36,51,,
36,50,,
36,49,,
36,48,,
36,47,,
36,46,,
36,45,,
36,44,,
36,43,,
36,42,,
36,41,,
36,40,,
36,39,,
37,51,,
37,50,,
37,49,,
37,48,,
37,47,,
37,46,,
37,45,,
37,44,,
37,43,,
37,42,,
37,41,,
37,40,,
37,39,,
38,51,,
38,50,,
38,49,,
38,48,,
38,47,,
38,46,,
38,45,,
38,44,,
38,43,,
38,42,,
38,41,,
38,40,,
38,39,,
39,39,,
39,40,,
39,41,,
40,39,,
40,40,,
40,41,,
41,39,,
41,40,,
41,41,,
42,39,,
42,40,,
42,41,,
43,39,,
43,40,,
43,41,,
43,42,,
44,39,,
44,40,,
44,41,,
44,42,,
44,43,,
44,44,,
44,45,,
44,46,,
44,47,,
44,48,,
44,49,,
44,50,,
44,51,,
44,52,,
44,53,,
44,54,,
44,55,,
44,56,,
44,57,,
44,58,,
44,59,,
44,60,,
44,61,,
44,62,,
44,63,,
44,64,,
44,65,,
44,66,,
44,67,,
44,68,,
44,69,,
44,70,,
44,71,,
45,39,,
45,40,,
45,41,,
45,42,,
45,43,,
45,44,,
45,45,,
45,46,,
45,47,,
45,48,,
45,49,,
45,50,,
45,51,,
45,52,,
45,53,,
45,54,,
45,55,,
45,56,,
45,57,,
45,58,,
45,59,,
45,60,,
45,61,,
45,62,,
45,63,,
45,64,,
45,65,,
45,66,,
45,67,,
45,68,,
45,69,,
45,70,,
45,71,,
46,39,,
46,40,,
46,41,,
46,42,,
46,43,,
46,44,,
46,45,,
46,46,,
46,47,,
46,48,,
46,49,,
46,50,,
46,51,,
46,52,,
46,53,,
46,54,,
46,55,,
46,56,,
46,57,,
46,58,,
46,59,,
46,60,,
46,61,,
46,62,,
46,63,,
46,64,,
46,65,,
46,66,,
46,67,,
46,68,,
46,69,,
46,70,,
46,71,,
47,40,,
47,41,,
47,42,,
47,43,,
47,44,,
47,45,,
47,46,,
47,47,,
47,48,,
47,49,,
47,50,,
47,51,,
47,52,,
47,53,,
47,54,,
47,55,,
47,56,,
47,57,,
47,58,,
47,59,,
47,60,,
47,61,,
47,62,,
47,63,,
47,64,,
47,65,,
47,66,,
47,67,,
47,68,,
47,69,,
47,70,,
47,71,,
,,,
50,70,,
50,69,,
50,68,,
50,67,,
50,66,,
50,65,,
50,64,,
50,63,,
50,62,,
50,61,,
50,60,,
50,59,,
50,58,,
50,57,,
50,56,,
50,55,,
50,54,,
50,53,,
50,52,,
50,51,,
50,50,,
50,49,,
50,48,,
50,47,,
50,46,,
50,45,,
50,44,,
50,43,,
50,42,,
50,41,,
50,40,,
50,54,,
51,71,E,
51,70,,
51,69,,
51,68,,
51,67,,
51,66,,
51,65,,
51,64,,
51,63,,
51,62,,
51,61,,
51,60,,
51,59,,
51,58,,
51,57,,
51,56,,
51,55,,
51,54,,
51,53,,
51,52,,
51,51,,
51,50,,
51,49,,
51,48,,
51,47,,
51,46,,
51,45,,
51,44,,
51,43,,
51,42,,
51,41,,
51,40,,
51,54,,
51,39,,
52,71,,
52,70,,
52,69,,
52,68,,
52,67,,
52,66,,
52,65,,
52,64,,
52,63,,
52,62,,
52,61,,
52,60,,
52,59,,
52,58,,
52,57,,
52,56,,
52,55,,
52,54,,
52,53,,
52,52,,
52,51,,
52,50,,
52,49,,
52,48,,
52,47,,
52,46,,
52,45,,
52,44,,
52,43,,
52,42,,
52,41,,
52,40,,
52,54,,
52,39,,
53,71,,
53,70,,
53,69,,
53,68,,
53,67,,
53,66,,
53,65,,
53,64,,
53,63,,
53,62,,
53,61,,
53,60,,
53,59,,
53,58,,
53,57,,
53,56,,
53,55,,
53,54,,
53,53,,
53,52,,
53,51,,
53,50,,
53,49,,
53,48,,
53,47,,
53,46,,
53,45,,
53,44,,
53,43,,
53,42,,
53,41,,
53,40,,
53,39,,
54,71,,
54,70,,
54,69,,
54,68,,
54,67,,
54,66,,
54,65,,
54,64,,
54,63,,
54,62,,
54,61,,
54,60,,
54,59,,
54,58,,
54,49,,
54,39,,
54,40,,
54,41,,
54,50,,
54,51,,
55,71,,
55,70,,
55,69,,
55,68,,
55,67,,
55,66,,
55,65,,
55,64,,
55,63,,
55,62,,
55,61,,
55,60,,
55,59,,
55,58,,
55,49,,
55,50,,
55,51,,
55,39,,
55,40,,
55,41,,
56,71,,
56,70,,
56,69,,
56,68,,
56,67,,
56,66,,
56,65,,
56,64,,
56,63,,
56,62,,
56,61,,
56,60,,
56,59,,
56,58,,
56,49,,
56,50,,
56,51,,
56,39,,
56,40,,
56,41,,
57,71,,
57,70,,
57,69,,
57,68,,
57,67,,
57,66,,
57,65,,
57,64,,
57,63,,
57,62,,
