License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
January 03 2000,263574,,Dog,Shepherd,,98119
January 05 2000,119820,Fancy,Dog,"Retriever, Labrador",,98106
January 06 2000,10401,Skip,Dog,Siberian Husky,Mix,
January 12 2000,941592,Kanga,Dog,German Shepherd,,98107
January 24 2000,422763,Oscar,Dog,"Retriever, Golden",,
January 29 2000,64456,Cassie,Dog,"Retriever, Golden",,98122
January 31 2000,264578,Mation,Dog,"Retriever, Labrador",Chow Chow,98118
February 05 2000,2158,Casey,Dog,"Spaniel, American Cocker",,98105
February 08 2000,337506,Bandit,Dog,Terrier,Mix,98108
February 08 2000,337711,Osa,Dog,"Retriever, Labrador",Mix,98133
February 09 2000,56345,Jewel Ruby,Dog,Pug,,98122
February 14 2000,337263,Zoey,Dog,"Schnauzer, Miniature",,98177
February 16 2000,65363,Annie,Dog,Terrier,Mix,98107
February 17 2000,64209,Cleo,Dog,"Terrier, American Pit Bull",,98118
February 26 2000,64601,Betsy,Dog,Beagle,Basset Hound,98103
March 02 2000,708094,Princess,Dog,Dalmatian,,98125
March 14 2000,807789,Poppy,Dog,Miniature Pinscher,,98125
March 20 2000,121134,Mollie,Dog,"Retriever, Labrador",,98126
March 20 2000,121135,Moonie,Dog,"Retriever, Labrador","Collie, Rough",98126
March 25 2000,886772,Maggie Mae,Dog,Basset Hound,,98102
April 02 2000,812609,Paloma,Dog,German Shepherd,,98146
April 09 2000,421577,Tequila,Dog,Rottweiler,,
April 15 2000,195831,Nicky,Dog,Rottweiler,,98117
April 21 2000,261867,,Dog,"Retriever, Labrador",,98126
April 27 2000,196007,Lucky,Dog,"Terrier, Yorkshire",Mix,98126
May 13 2000,337800,Calley,Dog,"Retriever, Labrador","Setter, Irish",98117
May 13 2000,193628,Emily,Dog,German Shepherd,,98115
May 20 2000,8530,Charlie,Dog,Rottweiler,Shepherd,98103
May 23 2000,886526,Nina,Dog,Rottweiler,,98116
June 14 2000,331232,Jessie,Dog,"Retriever, Labrador",,98122
June 15 2000,264401,Puddles,Dog,Brittany,,98106
June 22 2000,944778,Shadow,Dog,Doberman Pinscher,Shepherd,98155
July 08 2000,337336,,Dog,German Shepherd,"Retriever, Labrador",98146
July 08 2000,10399,Goldie,Dog,Rottweiler,,98125
July 15 2000,561068,Auggie,Dog,Australian Cattle Dog,,98107
July 19 2000,425269,Malecah,Dog,Belgian Sheepdog,Chow Chow,
July 20 2000,421809,Tasha,Dog,"Retriever, Golden",,98117
July 22 2000,10451,,Dog,Spaniel,Mix,98115
July 26 2000,888411,Cocoa,Dog,"Retriever, Golden",,98133
August 05 2000,336933,Elsamore,Dog,"Retriever, Labrador",Mix,98103
August 05 2000,337020,Chelsea,Dog,"Retriever, Golden",,98105
August 05 2000,65718,Naha,Dog,German Shepherd,,98108
August 05 2000,561031,Suzy,Dog,Beagle,Mix,98115
August 10 2000,565492,Sasha,Dog,Border Collie,Mix,98109
August 17 2000,264580,Tiera,Dog,Rottweiler,,
August 19 2000,65746,Cinnamon,Dog,"Terrier, American Pit Bull",Boxer,98108
August 19 2000,65747,Brown Sugar,Dog,Rottweiler,,98108
August 22 2000,65749,Shayshay,Dog,"Terrier, American Pit Bull",,
August 30 2000,707306,Coo,Dog,"Poodle, Miniature",,98136
August 30 2000,420184,Muffie,Dog,"Poodle, Miniature",,98125
September 07 2000,337276,Emily,Dog,"Spaniel, Welsh Springer",Rottweiler,98144
September 08 2000,709990,Mocha,Dog,Lhasa Apso,,98122
September 23 2000,812506,Ripley,Dog,German Shepherd,,98103
September 23 2000,814090,Natasha,Dog,Australian Cattle Dog,Mix,
October 04 2000,814333,Molly,Dog,"Retriever, Labrador",Mix,98103
October 05 2000,819209,Belle,Dog,Border Collie,,98121
October 18 2000,812668,G-Cloud,Dog,"Terrier, American Pit Bull",,98136
October 27 2000,818389,Misty,Dog,American Eskimo,,98275
October 31 2000,886609,Dee,Dog,"Retriever, Labrador",,98106
November 05 2000,888989,Boo,Dog,Terrier,Mix,98119
November 11 2000,807674,Zoe,Dog,"Retriever, Labrador",Mix,98178
November 16 2000,807676,Spunky,Dog,Pekingese,,98118
November 17 2000,336648,Pepper,Dog,"Retriever, Labrador",,98126
November 20 2000,889439,Nina,Dog,Shepherd,Mix,98101
November 25 2000,814327,Pooka,Dog,"Terrier, Yorkshire",,98117
November 25 2000,814302,Nika,Dog,Great Dane,,98117
November 25 2000,814301,Paco,Dog,"Dachshund, Standard Smooth Haired",,98117
November 25 2000,944555,Zoe,Dog,"Dachshund, Standard Smooth Haired",,98144
November 25 2000,118667,Schatzie,Dog,"Schnauzer, Miniature",,98122
November 28 2000,889490,Gracie,Dog,Australian Cattle Dog,,98125
December 09 2000,331878,Piper,Dog,German Shepherd,Mix,98112
December 14 2000,264572,Sam,Dog,Boxer,,98107
December 14 2000,1363,Mattie,Dog,"Retriever, Labrador",,98102
December 21 2000,9700,Boots,Dog,"Poodle, Miniature",,
December 21 2000,945901,Luna,Dog,Xoloitzcuintli,,
December 23 2000,561252,Anne,Dog,"Terrier, Boston",,98136
December 31 2000,707196,Hantos,Dog,Rottweiler,,98125
January 02 2001,119168,Billie,Dog,"Welsh Corgi, Pembroke",,98112
January 11 2001,411868,Ginger,Dog,Rottweiler,Shepherd,98144
January 11 2001,886901,Marlee,Dog,"Retriever, Labrador",,98109
January 12 2001,713019,Muffin,Dog,Chinese Shar-Pei,"Retriever, Labrador",98178
January 17 2001,338120,Biku,Dog,Chow Chow,Mix,98102
January 19 2001,11362,Buddy,Dog,Bullmastiff,,98112
January 29 2001,64445,Angel,Dog,Terrier,Mix,98122
February 02 2001,565889,Mokie,Dog,"Retriever, Labrador",Mix,98118
February 02 2001,565890,Sheba,Dog,Dogue de Bordeaux,,98118
February 11 2001,565575,Nora,Dog,Terrier,"Poodle, Miniature",98108
February 28 2001,120804,Falina,Dog,Dalmatian,,98199
February 28 2001,10029,Mojo,Dog,"Retriever, Golden",,98125
March 02 2001,943321,Chloe,Dog,"Poodle, Miniature",,98117
March 03 2001,124523,Olga,Dog,Rottweiler,,
March 13 2001,124689,Canelle,Dog,Leonberger,,98115
March 20 2001,10079,Rufus,Dog,"Retriever, Labrador",Rottweiler,98108
March 20 2001,814467,Levi,Dog,"Retriever, Labrador",,98105
March 31 2001,196204,Magdiline,Dog,Xoloitzcuintli,,98199
March 31 2001,196205,Natasha,Dog,Xoloitzcuintli,,98199
April 02 2001,195873,Arlo,Dog,"Retriever, Golden",Mix,
April 06 2001,331630,ISIS,Dog,Rhodesian Ridgeback,,98108
April 08 2001,818273,Goldie,Dog,"Spaniel, American Cocker",,
April 26 2001,10717,Zoe,Dog,"Collie, Rough",,
April 27 2001,819344,Reyna,Dog,"Collie, Rough",,
May 22 2001,119210,Tam,Dog,Weimaraner,Border Collie,98105
June 03 2001,337914,,Dog,Spaniel,Mix,98102
June 17 2001,421210,Godzilla,Dog,"Terrier, Yorkshire",,98125
June 24 2001,340626,Kemondorex,Dog,Xoloitzcuintli,,98108
June 28 2001,340657,Tito,Dog,"Dachshund, Standard Smooth Haired",,98119
June 29 2001,340391,Bella,Dog,Boxer,,98115
July 05 2001,338865,Isabel,Dog,Brittany,,98106
July 05 2001,708400,Cali,Dog,"Retriever, Labrador",Mix,98103
July 06 2001,121462,Trouble,Dog,"Terrier, American Pit Bull",,98144
July 10 2001,10970,Echo,Dog,"Welsh Corgi, Cardigan",,98125
July 27 2001,420774,Xio Xin,Dog,Chow Chow,Mix,
August 16 2001,421458,Missy,Dog,Shetland Sheepdog,,98125
August 27 2001,707986,Keta,Dog,Shepherd,Mix,98115
August 27 2001,712253,Bridget,Dog,Lhasa Apso,,98178
September 07 2001,559662,Cocoa,Dog,"Terrier, Jack Russell",,98133
September 11 2001,717019,,Dog,"Retriever, Labrador",Shepherd,98125
September 11 2001,712514,Coyote,Dog,"Welsh Corgi, Cardigan",,98136
September 19 2001,125190,Sadie,Dog,Xoloitzcuintli,,98103
September 21 2001,812667,Zoe,Dog,Whippet,,98136
October 04 2001,819346,D.O.G.,Dog,Chow Chow,"Retriever, Labrador",
October 06 2001,716667,Sophie,Dog,"Retriever, Golden",,98126
October 19 2001,338471,Beijoca,Dog,Xoloitzcuintli,,
October 31 2001,716561,Kali,Dog,"Retriever, Labrador",,
November 10 2001,8620,Samantha,Dog,"Retriever, Labrador",,98119
November 15 2001,893041,Nori,Dog,"Welsh Corgi, Cardigan",,98125
November 21 2001,893094,Hannah,Dog,Chow Chow,Mix,
December 26 2001,337037,Mitzi,Dog,Terrier,,98115
January 08 2002,425775,Kira,Dog,"Retriever, Labrador",Mix,
January 11 2002,561994,Kali,Dog,"Retriever, Labrador",Miniature Pinscher,98126
January 29 2002,15019,Sammie,Dog,"Spaniel, American Cocker","Poodle, Miniature",98126
January 31 2002,945798,Sasha,Dog,Siberian Husky,Shepherd,
February 10 2002,809321,Jessie,Dog,German Shepherd,,
February 14 2002,64881,Bodie,Dog,"Terrier, Jack Russell",,98105
February 19 2002,566701,Tootsie,Dog,"Spaniel, American Cocker",Mix,
February 26 2002,63923,Maggie Mae,Dog,"Retriever, Labrador",,98106
March 16 2002,194385,Rosie,Dog,"Retriever, Golden",,98199
March 23 2002,118846,Brownny,Dog,Miniature Pinscher,,98107
April 01 2002,818839,Lady,Dog,"Chihuahua, Short Coat",,
April 09 2002,818856,Little Bit,Dog,"Retriever, Labrador",Mix,98133
April 13 2002,256658,Mika Kaely,Dog,Boxer,,98118
April 16 2002,938283,Nautica,Dog,"Retriever, Labrador",Mix,98178
April 16 2002,195470,Pepper,Dog,"Retriever, Golden",,98116
April 16 2002,266063,Ruby,Dog,Shepherd,Mix,98118
April 30 2002,264298,Athena,Dog,Rottweiler,,98146
April 30 2002,256384,Jessie,Dog,German Shepherd,,98125
May 09 2002,337736,Godiva,Dog,Samoyed,,98107
May 10 2002,10732,Hana,Dog,Bullmastiff,,98106
May 23 2002,269994,Molly,Dog,"Retriever, Labrador",Mix,98121
June 02 2002,339502,Chelsea,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98146
June 05 2002,125205,Jade,Dog,"Terrier, American Pit Bull",,98122
June 10 2002,256262,Bandit,Dog,Terrier,,98273
June 20 2002,343235,Buttercup,Dog,Boxer,,98107
June 22 2002,420075,Ella,Dog,"Terrier, Border",,98660
June 26 2002,343281,Brinda,Dog,"Terrier, American Pit Bull",,
July 18 2002,888298,Sassy,Dog,Pekingese,,98122
July 24 2002,426975,Java,Dog,"Retriever, Golden",Newfoundland,98102
July 25 2002,426848,Lucy,Dog,Pug,"Chihuahua, Short Coat",98198
July 26 2002,426873,Lucy,Dog,"Retriever, Labrador",,98199
July 27 2002,338041,Tango,Dog,Australian Shepherd,,98105
July 27 2002,426889,Champion,Dog,"Retriever, Golden",,98118
July 28 2002,560092,Uma,Dog,German Shepherd,Norwegian Elkhound,98107
August 14 2002,570637,Bobean,Dog,Siberian Husky,Mix,
September 07 2002,701200,Beatrice,Dog,Bichon Frise,,98122
September 07 2002,64324,Luna,Dog,"Terrier, American Pit Bull",,98105
September 13 2002,709986,Alecia,Dog,Greyhound,,98126
September 14 2002,814434,Max,Dog,Rottweiler,,98119
September 14 2002,814433,Bailey,Dog,Rottweiler,,98119
September 20 2002,717439,Zooey,Dog,"Retriever, Labrador",Mix,
September 26 2002,192339,Helga,Dog,Boxer,Rottweiler,98126
September 27 2002,422813,Nikita,Dog,Rottweiler,Shetland Sheepdog,98122
October 12 2002,265874,Kayla,Dog,Rottweiler,Mix,
October 26 2002,889142,Hayla,Dog,German Shepherd,,98199
November 02 2002,814322,Kiska,Dog,Alaskan Malamute,Samoyed,98122
November 09 2002,338031,Emma,Dog,German Shepherd,,98199
November 22 2002,889721,Mya,Dog,"Retriever, Golden",,98177
November 25 2002,270058,Kali Ma,Dog,Border Collie,Mix,
November 26 2002,119822,Hannah,Dog,Basset Hound,,98116
November 30 2002,561234,Libby,Dog,"Terrier, Jack Russell",,98112
December 21 2002,883354,Ginger,Dog,Xoloitzcuintli,,98106
February 01 2003,15821,Sally,Dog,"Retriever, Golden",,98126
February 02 2003,15828,Koa,Dog,Rottweiler,,98144
February 04 2003,337563,,Dog,"Retriever, Labrador",Spaniel,
February 08 2003,265044,Skylar,Dog,Bernese Mountain Dog,,98133
February 12 2003,561226,Fisty,Dog,Chow Chow,,98103
March 03 2003,70830,Freya,Dog,Shepherd,,98118
March 11 2003,717787,Brownie,Dog,Akita,Mix,98126
March 14 2003,717799,Sug,Dog,Chinese Shar-Pei,Pomeranian,98108
March 30 2003,716691,Shadow,Dog,Rottweiler,,
March 30 2003,716692,Sheeba,Dog,Rottweiler,,
April 19 2003,124657,Lucy,Dog,Spaniel,,
April 19 2003,118693,Madison,Dog,Rottweiler,Siberian Husky,98144
July 13 2003,561021,Jazz,Dog,"Poodle, Miniature",,98102
August 04 2003,421929,Sue,Dog,"Retriever, Labrador",Mix,98116
August 27 2003,422032,Sissy,Dog,"Retriever, Labrador",Pointer,98103
August 29 2003,264271,Cloe,Dog,"Bulldog, English",,98107
September 09 2003,716873,Delaney,Dog,"Retriever, Golden",,98112
September 09 2003,560709,Maddy,Dog,"Retriever, Golden",,98115
September 11 2003,118874,Kira,Dog,German Shepherd,,98103
October 09 2003,701359,Molly,Dog,"Retriever, Labrador",Siberian Husky,98115
October 16 2003,807221,Bill,Dog,"Retriever, Labrador",,98105
November 19 2003,570636,Snickers,Dog,"Retriever, Chesapeake Bay",,
December 06 2003,256478,Pimples,Dog,"Terrier, American Pit Bull",,98106
December 11 2003,886754,Maddi,Dog,"Poodle, Miniature",,98125
December 11 2003,946651,Jubal,Dog,Siberian Husky,,98115
January 23 2004,14822,,Dog,"Terrier, American Staffordshire",,98177
January 30 2004,431829,Sincere,Dog,"Terrier, American Pit Bull",,
February 04 2004,S109299,Chivja,Dog,Saint Bernard,,
February 04 2004,9534,Abby,Dog,"Retriever, Labrador",Pekingese,98115
February 14 2004,71274,Glory,Dog,Australian Cattle Dog,,
March 16 2004,125804,Penny,Dog,"Retriever, Labrador",,98112
March 20 2004,127050,Bava,Dog,Mastiff,,98115
April 03 2004,61290,Daphne,Dog,"Retriever, Labrador",,98103
April 10 2004,201972,Fannie Mae,Dog,Border Collie,"Retriever, Labrador",98108
April 10 2004,201973,Sadie Louise,Dog,Border Collie,"Retriever, Labrador",98108
April 15 2004,70797,Chewie,Dog,Rottweiler,"Retriever, Labrador",98103
April 17 2004,202085,JoJo,Dog,Shih Tzu,,98144
April 20 2004,111368,Olive,Dog,Portuguese Water Dog,,
April 27 2004,202228,Blue,Dog,Australian Cattle Dog,,98118
May 26 2004,64909,Sugar,Dog,Bulldog,,98106
June 25 2004,344350,Parker,Dog,"Retriever, Labrador",Mix,98115
June 29 2004,946882,Cocoa,Dog,Rottweiler,,98108
July 08 2004,431913,Roxanne,Dog,Rottweiler,,98115
