issued,number,name,species,breed
January 05 2000,119820,Fancy,Dog,"Retriever, Labrador"
January 06 2000,10401,Skip,Dog,Siberian Husky
January 12 2000,941592,Kanga,Dog,German Shepherd
January 24 2000,422763,Oscar,Dog,"Retriever, Golden"
January 29 2000,64456,Cassie,Dog,"Retriever, Golden"
January 31 2000,264578,Mation,Dog,"Retriever, Labrador"
February 05 2000,2158,Casey,Dog,"Spaniel, American Cocker"
February 08 2000,337506,Bandit,Dog,Terrier
February 08 2000,337711,Osa,Dog,"Retriever, Labrador"
February 09 2000,56345,Jewel Ruby,Dog,Pug
February 14 2000,337263,Zoey,Dog,"Schnauzer, Miniature"
February 16 2000,65363,Annie,Dog,Terrier
February 17 2000,64209,Cleo,Dog,"Terrier, American Pit Bull"
February 26 2000,64601,Betsy,Dog,Beagle
March 02 2000,708094,Princess,Dog,Dalmatian
March 14 2000,807789,Poppy,Dog,Miniature Pinscher
March 20 2000,121134,Mollie,Dog,"Retriever, Labrador"
March 20 2000,121135,Moonie,Dog,"Retriever, Labrador"
March 25 2000,886772,Maggie Mae,Dog,Basset Hound
April 02 2000,812609,Paloma,Dog,German Shepherd
April 09 2000,421577,Tequila,Dog,Rottweiler
April 15 2000,195831,Nicky,Dog,Rottweiler
April 27 2000,196007,Lucky,Dog,"Terrier, Yorkshire"
May 13 2000,337800,Calley,Dog,"Retriever, Labrador"
May 13 2000,193628,Emily,Dog,German Shepherd
May 20 2000,8530,Charlie,Dog,Rottweiler
May 23 2000,886526,Nina,Dog,Rottweiler
June 14 2000,331232,Jessie,Dog,"Retriever, Labrador"
June 15 2000,264401,Puddles,Dog,Brittany
June 22 2000,944778,Shadow,Dog,Doberman Pinscher
July 08 2000,10399,Goldie,Dog,Rottweiler
July 15 2000,561068,Auggie,Dog,Australian Cattle Dog
July 19 2000,425269,Malecah,Dog,Belgian Sheepdog
July 20 2000,421809,Tasha,Dog,"Retriever, Golden"
July 26 2000,888411,Cocoa,Dog,"Retriever, Golden"
