artist,song_title,use,show
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Hideaki-Aomori-C-J-Camerieri-Shawn-Conley-and-Rob-Moose,Battle of Corinth,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Rob-Moose,Taking Daniel Home,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Rob-Moose,Finding Home,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Rob-Moose,The Letter,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Rob-Moose,Hanging the Deserters,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Rob-Moose,Reconstruction,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Hideaki-Aomori-and-Rob-Moose,They Took Everything,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Shawn-Conley-and-Shawn-Pelton,Piney Woods Swamp,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Shawn-Conley-and-Shawn-Pelton,Resistance,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Caitlin-Sullivan,Perfect Charity,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-and-Caitlin-Sullivan,The Free State of Jones,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Hideaki-Aomori-C-J-Camerieri-Alex-Sopp-Shawn-Conley-and-Rob-Moose,Let There Be Light,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Hideaki-Aomori-C-J-Camerieri-Alex-Sopp-Shawn-Conley-and-Rob-Moose,Killing the Colonel,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Shawn-Conley-and-Rob-Moose,John Madison Knight,,Free State Of Jones23 Jun 20160
Rob-Moose,Postlude,,Free State Of Jones23 Jun 20160
Nicholas-Britell-Tim-Fain-Caitlin-Sullivan-Hideaki-Aomori-C-J-Camerieri-and-Rob-Moose,July 1863 / Loyalty Oath,,Free State Of Jones23 Jun 20160
Sweet-Tempest,Mine,,The Neon Demon23 Jun 20160
Sweet-Tempest,Mine,0:07Ruby takes Jesse to a party to have some fun.,The Neon Demon23 Jun 20161
Julian-Winding,Demon Dance,,The Neon Demon23 Jun 20160
Julian-Winding,Demon Dance,0:13Nightclub scene,The Neon Demon23 Jun 20162
Clanch,Autumn,,Private Eyes • S1E125 May 20162
Aspektz,In the Tdot,,Private Eyes • S1E125 May 20161
Birdee,B-Love,,Private Eyes • S1E21 Jun 20160
Sacha-Collisson,Dreams ,,Private Eyes • S1E21 Jun 20160
Elvyn,Ellie,,Private Eyes • S1E415 Jun 20160
Adam-K,Crooks In the Kitchen,,Private Eyes • S1E21 Jun 20160
King-Reign,Happylaidback,0:14.,Private Eyes • S1E522 Jun 20160
Dele-O-feat-Finalie,Put You On ,0:19.,Private Eyes • S1E522 Jun 20160
Mormor,Wild Child,0:54.,Private Eyes • S1E522 Jun 20161
Exco-Levi,One Suit,0:01.,Private Eyes • S1E522 Jun 20160
Doyle-Bramhall-II-and-Erykah-Badu,Oh Death,0:19Montage as Pied Piper try to boost daily active users.,Silicon Valley • S3E918 Jun 20161
White-Dress,Five Feet of Road,0:50Wynonna shoots Bobo after he's driven across the border by Black Division.,Wynonna Earp • S1E1323 Jun 20160
Stephan-Moccio,Ow,,Containment • S1E118 Apr 20160
Tinariwen,Sastanàqqàm,,The Two Popes26 Nov 20190
Tinariwen,Sastanàqqàm,,The Two Popes26 Nov 20190
Tinariwen,Sastanàqqàm,0:20Josh and Tiger head into the clean room lab with Lyle.,Future Man • S1E413 Nov 20170
Tinariwen,Chaghaybou,"0:27Final scene as an Indian man wakes up and heads to work, where we see hundreds of working logging in and out of pied piper.",Silicon Valley • S3E918 Jun 20164
Svrcina,Astronomical,0:44Josie and Hope have a heart-to-heart about what's happened between them.,Legacies • S2E915 Jan 20201
Svrcina,Battlefield,'The Battle Between Good & Evil' promo.,Shadowhunters • S2E11 Jan 20174
Svrcina,Battlefield,,Containment • S1E49 May 20161
Svrcina,Battlefield,Promo music for season 2.,American Crime • S2E15 Jan 20160
Hundred-Waters,Parade,Jess tells Nina she's at peace.,13 Reasons Why • S2E1317 May 20182
Hundred-Waters,Blanket Me,"0:16Willow asks Robert if he caused the blackout, then expresses concern about his eliminating the parliament; Robert convinces Willow to go through with the wedding; Jasper confirms the room is clear of bug, then Willow tells Helena that she can't marry Robert.",The Royals • S4E1012 May 20181
Hundred-Waters,Blanket Me,0:48Beth drinks as works out calenders for the future of her children.,Good Girls • S1E922 Apr 20180
